platform,category,workload,concurrency,attempted,successes,failures,p50_ms,p95_ms,p99_ms,ops_per_second,runs,p50_spread_ms
cognodb,read,network baseline,1,100,100,0,362.016,379.94,386.298,2.75,3,0.643
cognodb,read,1-hop traversal,1,100,100,0,363.588,376.946,380.128,2.75,3,1.334
cognodb,read,2-hop traversal,1,100,100,0,365.863,380.635,397.219,2.72,3,3.406
cognodb,read,3-hop traversal,1,100,100,0,382.6,1428.382,1781.787,1.88,3,2.001
cognodb,read,point lookup,1,100,100,0,359.91,374.051,442.626,2.74,3,2.484
cognodb,read,filtered lookup,1,100,100,0,364.116,380.446,395.387,2.68,3,9.214
cognodb,read,aggregation,1,100,100,0,373.438,389.803,401.202,2.66,3,7.962
cognodb,mixed,mixed read/write,1,100,100,0,361.658,374.13,382.493,2.76,3,0.797
cognodb,mixed,mixed read/write,10,1000,1000,0,363.816,379.595,436.069,27.21,3,0.606
cognodb,mixed,mixed read/write,20,2000,2000,0,363.84,382.577,627.565,50.76,3,1.287
cognodb,mixed,mixed read/write,40,4000,4000,0,363.303,378.752,390.492,109.12,3,2.455
